"","school","logo"
"79","Bridgewater (VA)","http://a.espncdn.com/i/teamlogos/ncaa/500/2079.png"
"80","Brit Columbia","http://a.espncdn.com/i/teamlogos/ncaa/500/2080.png"
"81","Brockport State (NY)","http://a.espncdn.com/i/teamlogos/ncaa/500/2781.png"
"82","Brown","http://a.espncdn.com/i/teamlogos/ncaa/500/225.png"
"83","Bryant","http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png"
"84","Bucknell","http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png"
"85","Buena Vista","http://a.espncdn.com/i/teamlogos/ncaa/500/63.png"
"86","Buffalo","http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png"
"87","Buffalo State","http://a.espncdn.com/i/teamlogos/ncaa/500/2085.png"
"88","Butler","http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png"
"89","BYU","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png"
"90","California","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png"
"91","California (PA)","http://a.espncdn.com/i/teamlogos/ncaa/500/2858.png"
"92","Cal Lutheran","http://a.espncdn.com/i/teamlogos/ncaa/500/2094.png"
"93","Cal Poly","http://a.espncdn.com/i/teamlogos/ncaa/500/13.png"
"94","Campbell","http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png"
"95","Capital","http://a.espncdn.com/i/teamlogos/ncaa/500/424.png"
"96","Carleton","http://a.espncdn.com/i/teamlogos/ncaa/500/2101.png"
"97","Carnegie Mellon","http://a.espncdn.com/i/teamlogos/ncaa/500/2102.png"
"98","Carroll (WI)","http://a.espncdn.com/i/teamlogos/ncaa/500/32.png"
"99","Carson-Newman","http://a.espncdn.com/i/teamlogos/ncaa/500/2105.png"
"100","Carthage","http://a.espncdn.com/i/teamlogos/ncaa/500/2106.png"
"101","Case Western Reserve","http://a.espncdn.com/i/teamlogos/ncaa/500/2963.png"
"102","Castleton State College","http://a.espncdn.com/i/teamlogos/ncaa/500/293.png"
"103","Catawba","http://a.espncdn.com/i/teamlogos/ncaa/500/2107.png"
"104","Catholic University","http://a.espncdn.com/i/teamlogos/ncaa/500/2108.png"
"105","Central","http://a.espncdn.com/i/teamlogos/ncaa/500/2964.png"
"106","Central Arkansas","http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png"
"107","Central Connecticut","http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png"
"108","Central Methodist","http://a.espncdn.com/i/teamlogos/ncaa/500/2860.png"
"109","Central Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png"
"110","Central Missouri State","http://a.espncdn.com/i/teamlogos/ncaa/500/2118.png"
"111","Central Oklahoma","http://a.espncdn.com/i/teamlogos/ncaa/500/2122.png"
"112","Central State","http://a.espncdn.com/i/teamlogos/ncaa/500/2119.png"
"113","Central Washington","http://a.espncdn.com/i/teamlogos/ncaa/500/2120.png"
"114","Centre","http://a.espncdn.com/i/teamlogos/ncaa/500/2121.png"
"115","Chadron State","http://a.espncdn.com/i/teamlogos/ncaa/500/2123.png"
"116","Chapman","http://a.espncdn.com/i/teamlogos/ncaa/500/411.png"
"117","Charleston Southern","http://a.espncdn.com/i/teamlogos/ncaa/500/2127.png"
"118","Charleston (WV)","http://a.espncdn.com/i/teamlogos/ncaa/500/2128.png"
"119","Charlotte","http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png"
"120","Chattanooga","http://a.espncdn.com/i/teamlogos/ncaa/500/236.png"
"121","Cheyney","http://a.espncdn.com/i/teamlogos/ncaa/500/2129.png"
"122","Chicago","http://a.espncdn.com/i/teamlogos/ncaa/500/80.png"
"123","Christopher Newport","http://a.espncdn.com/i/teamlogos/ncaa/500/3112.png"
"124","Cincinnati","http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png"
"125","Claremont","http://a.espncdn.com/i/teamlogos/ncaa/500/17.png"
"126","Clarion","http://a.espncdn.com/i/teamlogos/ncaa/500/2134.png"
"127","Clark Atlanta","http://a.espncdn.com/i/teamlogos/ncaa/500/2805.png"
"128","Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"129","Coastal Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/324.png"
